"","pMean","pSD","yr","mo","spp"
"1",0.511,0.161,1978,1,"GEPE"
"2",0.577,0.137,1982,1,"GEPE"
"3",0.726,0.158,1983,1,"GEPE"
"4",0.765,0.158,1993,1,"GEPE"
"5",0.793,0.129,1994,1,"GEPE"
"6",0.658,0.157,1995,1,"GEPE"
"7",0.443,0.225,1996,1,"GEPE"
"8",0.96,0.055,1998,1,"GEPE"
"9",0.515,0.209,1999,1,"GEPE"
"10",0.246,0.163,2000,1,"GEPE"
"11",0.063,0.097,2001,1,"GEPE"
"12",0.558,0.31,2002,1,"GEPE"
"13",0.782,0.237,2003,1,"GEPE"
"14",0.525,0.251,2004,1,"GEPE"
"15",0.388,0.217,2005,1,"GEPE"
"16",0.077,0.114,2006,1,"GEPE"
"17",0.342,0.255,2007,1,"GEPE"
"18",0.556,0.191,2008,1,"GEPE"
"19",0.477,0.325,2009,1,"GEPE"
"20",0.328,0.262,2010,1,"GEPE"
"21",0.388,0.32,2011,1,"GEPE"
"22",0.643,0.314,2012,1,"GEPE"
"23",0.856,0.198,2013,1,"GEPE"
"24",0.659,0.282,2014,1,"GEPE"
"25",0.287,0.234,2015,1,"GEPE"
"26",0.397,0.206,2016,1,"GEPE"
"27",0.198,0.266,2017,1,"GEPE"
"28",0.706,0.164,2018,1,"GEPE"
"29",0.388,0.253,2019,1,"GEPE"
"30",0.515,0.334,2020,1,"GEPE"
"31",0.375,0.146,1982,10,"GEPE"
"32",0.619,0.163,2010,10,"GEPE"
"33",0.581,0.147,1977,11,"GEPE"
"34",0.437,0.185,1982,11,"GEPE"
"35",0.592,0.153,1977,12,"GEPE"
"36",0.764,0.097,1981,12,"GEPE"
"37",0.749,0.163,1982,12,"GEPE"
"38",0.651,0.21,1992,12,"GEPE"
"39",0.741,0.163,1993,12,"GEPE"
"40",0.318,0.18,1995,12,"GEPE"
"41",0.675,0.23,2003,12,"GEPE"
"42",0.628,0.073,2004,12,"GEPE"
"43",0.465,0.227,2006,12,"GEPE"
"44",0.384,0.239,2010,12,"GEPE"
"45",0.672,0.252,2015,12,"GEPE"
"46",0.093,0.116,2016,12,"GEPE"
"47",0,NA,2019,12,"GEPE"
"48",0.59,0.127,1978,2,"GEPE"
"49",0.439,0.097,1982,2,"GEPE"
"50",0.688,0.14,1993,2,"GEPE"
"51",0.295,0.195,1995,2,"GEPE"
"52",0.859,0.135,1998,2,"GEPE"
"53",0.337,0.176,2004,2,"GEPE"
"54",0.016,0.017,2006,2,"GEPE"
"55",0.473,0.181,2008,2,"GEPE"
"56",0.299,0.208,2010,2,"GEPE"
"57",0.872,0.121,2013,2,"GEPE"
"58",0.354,0.087,2015,2,"GEPE"
"59",0.481,NA,2018,2,"GEPE"
"60",0.704,0.103,1978,1,"ADPE"
"61",0.635,0.135,1982,1,"ADPE"
"62",0.85,0.109,1983,1,"ADPE"
"63",0.929,0.043,1993,1,"ADPE"
"64",0.902,0.065,1994,1,"ADPE"
"65",0.666,0.186,1995,1,"ADPE"
"66",0.669,0.182,1996,1,"ADPE"
"67",0.707,0.228,1997,1,"ADPE"
"68",0.981,0.031,1998,1,"ADPE"
"69",0.787,0.158,1999,1,"ADPE"
"70",0.449,0.174,2000,1,"ADPE"
"71",0.179,0.148,2001,1,"ADPE"
"72",0.912,0.061,2002,1,"ADPE"
"73",0.857,0.144,2003,1,"ADPE"
"74",0.74,0.209,2004,1,"ADPE"
"75",0.619,0.169,2005,1,"ADPE"
"76",0.135,0.082,2006,1,"ADPE"
"77",0.643,0.21,2007,1,"ADPE"
"78",0.759,0.201,2008,1,"ADPE"
"79",0.764,0.186,2009,1,"ADPE"
"80",0.697,0.169,2010,1,"ADPE"
"81",0.946,0.042,2012,1,"ADPE"
"82",0.872,0.112,2013,1,"ADPE"
"83",0.866,0.149,2014,1,"ADPE"
"84",0.724,0.166,2015,1,"ADPE"
"85",0.42,0.138,2016,1,"ADPE"
"86",0.579,0.37,2017,1,"ADPE"
"87",0.924,0.059,2018,1,"ADPE"
"88",0.969,0.013,2020,1,"ADPE"
"89",0.591,0.313,1982,10,"ADPE"
"90",0.797,0.193,1977,11,"ADPE"
"91",0.607,0.336,1982,11,"ADPE"
"92",0.768,0.148,1977,12,"ADPE"
"93",0.748,0.164,1981,12,"ADPE"
"94",0.872,0.077,1982,12,"ADPE"
"95",0.9,0.086,1992,12,"ADPE"
